Date,Close,Open,High,Low,Volume,Change
2012-11-30,9108.0,9047.0,9108.0,8987.0,201980.0,0.013500000000000002
2012-12-03,9047.0,9108.0,9108.0,8987.0,268830.0,-0.0067
2012-12-04,9108.0,8987.0,9108.0,8987.0,207080.0,0.0067
2012-12-05,9108.0,9047.0,9169.0,9047.0,347310.0,0.0
2012-12-06,9047.0,9047.0,9047.0,8987.0,118160.0,-0.0067
2012-12-07,8987.0,8987.0,9108.0,8987.0,438180.0,-0.0066
2012-12-10,9429.0,9281.0,9502.0,9208.0,461300.0,0.0492
2012-12-11,9281.0,8839.0,9502.0,8839.0,471900.0,-0.015700000000000002
2012-12-12,9355.0,9281.0,9429.0,9208.0,715600.0,0.008
2012-12-13,9355.0,9429.0,9429.0,9281.0,346700.0,0.0
2012-12-14,9355.0,9355.0,9355.0,9281.0,383600.0,0.0
2012-12-17,9944.0,9944.0,9944.0,9871.0,2840000.0,0.063
2012-12-18,10386.0,10534.0,10607.0,10165.0,2820000.0,0.0444
2012-12-19,10386.0,10386.0,10460.0,10239.0,1280000.0,0.0
2012-12-20,10092.0,10313.0,10313.0,10018.0,1600000.0,-0.028300000000000002
2012-12-21,9723.0,10092.0,10092.0,9723.0,2270000.0,-0.0366
2012-12-24,10018.0,9797.0,10018.0,9723.0,1410000.0,0.030299999999999997
2012-12-25,10092.0,10092.0,10165.0,10018.0,794300.0,0.0074
2012-12-26,10092.0,10165.0,10239.0,9871.0,418800.0,0.0
2012-12-27,10018.0,10165.0,10239.0,10018.0,831800.0,-0.0073
2012-12-28,10092.0,10165.0,10165.0,10018.0,576000.0,0.0074
2013-01-02,10386.0,10165.0,10460.0,10165.0,1470000.0,0.0291
2013-01-03,10239.0,10386.0,10534.0,10165.0,787800.0,-0.014199999999999999
2013-01-04,10313.0,10165.0,10386.0,10092.0,572300.0,0.0072
2013-01-07,10681.0,10386.0,10976.0,10386.0,2730000.0,0.035699999999999996
2013-01-08,11270.0,10681.0,11344.0,10681.0,3690000.0,0.055099999999999996
2013-01-09,11197.0,11786.0,11786.0,10976.0,2750000.0,-0.006500000000000001
2013-01-10,11565.0,11197.0,11565.0,10902.0,1940000.0,0.0329
2013-01-11,11491.0,11638.0,11786.0,11344.0,2480000.0,-0.0064
2013-01-14,11638.0,11491.0,11712.0,11197.0,2040000.0,0.0128
2013-01-15,12032.0,11796.0,12110.0,11638.0,1490000.0,0.0339
2013-01-16,11874.0,12032.0,12268.0,11796.0,2080000.0,-0.0131
2013-01-17,11481.0,11796.0,11874.0,11481.0,1610000.0,-0.0331
2013-01-18,11560.0,11403.0,11560.0,11245.0,977600.0,0.0069
2013-01-21,11324.0,11481.0,11560.0,11324.0,661600.0,-0.0204
2013-01-22,11167.0,11324.0,11403.0,11167.0,738700.0,-0.0139
2013-01-23,11245.0,11245.0,11324.0,11088.0,644500.0,0.006999999999999999
2013-01-24,11560.0,11324.0,11560.0,11245.0,528200.0,0.027999999999999997
2013-01-25,11638.0,11638.0,11717.0,11560.0,598300.0,0.0067
2013-01-28,11874.0,11638.0,12032.0,11638.0,1270000.0,0.0203
2013-01-29,12032.0,12032.0,12110.0,11796.0,944500.0,0.013300000000000001
2013-01-30,11953.0,11953.0,12110.0,11874.0,720500.0,-0.0066
2013-01-31,11796.0,11874.0,11953.0,11717.0,717200.0,-0.0131
2013-02-01,11717.0,10852.0,11796.0,10852.0,463100.0,-0.0067
2013-02-04,11638.0,11717.0,11874.0,11638.0,327300.0,-0.0067
2013-02-05,11796.0,11638.0,11796.0,11560.0,498500.0,0.013600000000000001
2013-02-06,11953.0,11796.0,12032.0,11796.0,345800.0,0.013300000000000001
2013-02-07,12110.0,12110.0,12268.0,11953.0,568400.0,0.0131
2013-02-08,12032.0,12110.0,12189.0,11953.0,465000.0,-0.0064
2013-02-18,12189.0,12110.0,12268.0,12032.0,678400.0,0.013000000000000001
2013-02-19,12189.0,12268.0,12268.0,12032.0,554400.0,0.0
